,awayteam,hometeam,possession,awayscore,homescore,total_time,win,game_id
0,Orlando,LA Clippers,1,0,0,0.0,1,0
1,Orlando,LA Clippers,1,0,0,56.0,1,0
2,Orlando,LA Clippers,0,0,0,64.0,1,0
3,Orlando,LA Clippers,0,0,0,144.0,1,0
4,Orlando,LA Clippers,1,0,0,152.0,1,0
5,Orlando,LA Clippers,1,0,0,152.0,1,0
6,Orlando,LA Clippers,0,0,0,208.0,1,0
7,Orlando,LA Clippers,1,2,0,224.0,1,0
8,Orlando,LA Clippers,0,2,0,264.0,1,0
9,Orlando,LA Clippers,0,2,0,284.0,1,0
10,Orlando,LA Clippers,0,2,0,312.0,1,0
11,Orlando,LA Clippers,1,2,0,312.0,1,0
12,Orlando,LA Clippers,1,4,0,372.0,1,0
13,Orlando,LA Clippers,0,4,0,440.0,1,0
14,Orlando,LA Clippers,0,4,2,480.0,1,0
15,Orlando,LA Clippers,1,4,2,540.0,1,0
16,Orlando,LA Clippers,0,4,2,544.0,1,0
17,Orlando,LA Clippers,0,4,2,584.0,1,0
18,Orlando,LA Clippers,1,4,2,584.0,1,0
19,Orlando,LA Clippers,1,4,2,620.0,1,0
20,Orlando,LA Clippers,1,6,2,644.0,1,0
21,Orlando,LA Clippers,0,6,2,700.0,1,0
22,Orlando,LA Clippers,0,6,2,740.0,1,0
23,Orlando,LA Clippers,1,9,2,760.0,1,0
24,Orlando,LA Clippers,0,9,2,824.0,1,0
25,Orlando,LA Clippers,1,9,2,832.0,1,0
26,Orlando,LA Clippers,1,9,2,864.0,1,0
27,Orlando,LA Clippers,1,9,2,868.0,1,0
28,Orlando,LA Clippers,1,9,2,876.0,1,0
29,Orlando,LA Clippers,0,9,2,884.0,1,0
30,Orlando,LA Clippers,0,9,2,948.0,1,0
31,Orlando,LA Clippers,0,9,2,972.0,1,0
32,Orlando,LA Clippers,1,9,2,988.0,1,0
33,Orlando,LA Clippers,1,9,2,988.0,1,0
34,Orlando,LA Clippers,0,9,2,1048.0,1,0
35,Orlando,LA Clippers,1,11,2,1124.0,1,0
36,Orlando,LA Clippers,0,11,2,1212.0,1,0
37,Orlando,LA Clippers,1,11,2,1224.0,1,0
38,Orlando,LA Clippers,1,14,2,1292.0,1,0
39,Orlando,LA Clippers,0,14,2,1316.0,1,0
40,Orlando,LA Clippers,0,14,5,1380.0,1,0
41,Orlando,LA Clippers,1,16,5,1424.0,1,0
42,Orlando,LA Clippers,0,16,5,1488.0,1,0
43,Orlando,LA Clippers,0,16,5,1492.0,1,0
44,Orlando,LA Clippers,0,16,5,1500.0,1,0
45,Orlando,LA Clippers,1,16,5,1500.0,1,0
46,Orlando,LA Clippers,1,16,5,1532.0,1,0
47,Orlando,LA Clippers,0,16,5,1540.0,1,0
48,Orlando,LA Clippers,0,16,5,1572.0,1,0
49,Orlando,LA Clippers,1,16,5,1584.0,1,0
50,Orlando,LA Clippers,1,16,5,1628.0,1,0
51,Orlando,LA Clippers,0,16,5,1632.0,1,0
52,Orlando,LA Clippers,0,16,5,1684.0,1,0
53,Orlando,LA Clippers,1,16,5,1700.0,1,0
54,Orlando,LA Clippers,1,16,5,1720.0,1,0
55,Orlando,LA Clippers,0,16,5,1728.0,1,0
56,Orlando,LA Clippers,0,16,7,1756.0,1,0
57,Orlando,LA Clippers,1,18,7,1828.0,1,0
58,Orlando,LA Clippers,0,18,7,1896.0,1,0
59,Orlando,LA Clippers,1,18,7,1908.0,1,0
60,Orlando,LA Clippers,1,18,7,1924.0,1,0
61,Orlando,LA Clippers,0,18,7,1924.0,1,0
62,Orlando,LA Clippers,0,18,9,1964.0,1,0
63,Orlando,LA Clippers,1,20,9,2040.0,1,0
64,Orlando,LA Clippers,0,20,9,2108.0,1,0
65,Orlando,LA Clippers,1,22,9,2160.0,1,0
66,Orlando,LA Clippers,0,22,9,2232.0,1,0
67,Orlando,LA Clippers,1,22,9,2244.0,1,0
68,Orlando,LA Clippers,1,22,9,2256.0,1,0
69,Orlando,LA Clippers,1,22,9,2256.0,1,0
70,Orlando,LA Clippers,0,22,9,2256.0,1,0
71,Orlando,LA Clippers,1,22,9,2256.0,1,0
72,Orlando,LA Clippers,1,23,9,2256.0,1,0
73,Orlando,LA Clippers,1,23,9,2256.0,1,0
74,Orlando,LA Clippers,1,24,9,2256.0,1,0
75,Orlando,LA Clippers,0,24,9,2320.0,1,0
76,Orlando,LA Clippers,0,24,9,2320.0,1,0
77,Orlando,LA Clippers,1,24,9,2320.0,1,0
78,Orlando,LA Clippers,0,24,9,2340.0,1,0
79,Orlando,LA Clippers,0,24,11,2344.0,1,0
80,Orlando,LA Clippers,0,24,11,2344.0,1,0
81,Orlando,LA Clippers,1,24,11,2408.0,1,0
82,Orlando,LA Clippers,0,24,11,2468.0,1,0
83,Orlando,LA Clippers,0,24,11,2472.0,1,0
84,Orlando,LA Clippers,0,24,11,2472.0,1,0
85,Orlando,LA Clippers,0,24,11,2480.0,1,0
86,Orlando,LA Clippers,0,24,13,2484.0,1,0
87,Orlando,LA Clippers,1,24,13,2544.0,1,0
88,Orlando,LA Clippers,0,24,13,2548.0,1,0
89,Orlando,LA Clippers,0,24,15,2564.0,1,0
90,Orlando,LA Clippers,1,26,15,2664.0,1,0
91,Orlando,LA Clippers,0,26,15,2692.0,1,0
92,Orlando,LA Clippers,1,26,15,2700.0,1,0
93,Orlando,LA Clippers,1,26,15,2748.0,1,0
94,Orlando,LA Clippers,0,26,15,2752.0,1,0
95,Orlando,LA Clippers,0,26,15,2768.0,1,0
96,Orlando,LA Clippers,0,26,16,2768.0,1,0
97,Orlando,LA Clippers,0,26,16,2768.0,1,0
98,Orlando,LA Clippers,0,26,17,2768.0,1,0
99,Orlando,LA Clippers,1,26,17,2836.0,1,0
100,Orlando,LA Clippers,0,26,19,2856.0,1,0
101,Orlando,LA Clippers,1,26,19,2872.0,1,0
102,Orlando,LA Clippers,0,26,19,720.0,1,0
103,Orlando,LA Clippers,1,26,19,1440.0,1,0
104,Orlando,LA Clippers,1,26,19,720.0,1,0
105,Orlando,LA Clippers,0,26,19,774.0,1,0
106,Orlando,LA Clippers,1,26,19,777.0,1,0
107,Orlando,LA Clippers,1,26,19,789.0,1,0
108,Orlando,LA Clippers,1,27,19,789.0,1,0
109,Orlando,LA Clippers,0,27,19,789.0,1,0
110,Orlando,LA Clippers,1,28,19,789.0,1,0
111,Orlando,LA Clippers,0,28,19,861.0,1,0
112,Orlando,LA Clippers,1,28,19,867.0,1,0
113,Orlando,LA Clippers,1,28,19,882.0,1,0
114,Orlando,LA Clippers,1,29,19,882.0,1,0
115,Orlando,LA Clippers,0,29,19,882.0,1,0
116,Orlando,LA Clippers,1,29,19,882.0,1,0
117,Orlando,LA Clippers,0,29,19,885.0,1,0
118,Orlando,LA Clippers,0,29,19,909.0,1,0
119,Orlando,LA Clippers,0,29,19,930.0,1,0
120,Orlando,LA Clippers,1,29,19,939.0,1,0
121,Orlando,LA Clippers,1,29,19,975.0,1,0
122,Orlando,LA Clippers,0,29,19,975.0,1,0
123,Orlando,LA Clippers,1,29,19,975.0,1,0
124,Orlando,LA Clippers,0,29,19,1029.0,1,0
125,Orlando,LA Clippers,0,29,19,1035.0,1,0
126,Orlando,LA Clippers,0,29,19,1035.0,1,0
127,Orlando,LA Clippers,0,29,21,1050.0,1,0
128,Orlando,LA Clippers,0,29,21,1050.0,1,0
129,Orlando,LA Clippers,1,31,21,1104.0,1,0
130,Orlando,LA Clippers,0,31,21,1176.0,1,0
131,Orlando,LA Clippers,0,31,21,1185.0,1,0
132,Orlando,LA Clippers,0,31,23,1215.0,1,0
133,Orlando,LA Clippers,1,31,23,1248.0,1,0
134,Orlando,LA Clippers,0,31,23,1251.0,1,0
135,Orlando,LA Clippers,0,31,23,1263.0,1,0
136,Orlando,LA Clippers,0,31,23,1263.0,1,0
137,Orlando,LA Clippers,0,31,24,1263.0,1,0
138,Orlando,LA Clippers,0,31,25,1263.0,1,0
139,Orlando,LA Clippers,1,31,25,1296.0,1,0
140,Orlando,LA Clippers,1,31,25,1302.0,1,0
141,Orlando,LA Clippers,1,31,25,1347.0,1,0
142,Orlando,LA Clippers,0,31,25,1356.0,1,0
143,Orlando,LA Clippers,1,31,25,1374.0,1,0
144,Orlando,LA Clippers,0,31,25,1410.0,1,0
145,Orlando,LA Clippers,1,31,25,1413.0,1,0
146,Orlando,LA Clippers,1,31,25,1434.0,1,0
147,Orlando,LA Clippers,1,32,25,1434.0,1,0
148,Orlando,LA Clippers,0,32,25,1434.0,1,0
149,Orlando,LA Clippers,1,33,25,1434.0,1,0
150,Orlando,LA Clippers,0,33,27,1470.0,1,0
151,Orlando,LA Clippers,1,33,27,1491.0,1,0
152,Orlando,LA Clippers,1,33,27,1491.0,1,0
153,Orlando,LA Clippers,1,33,27,1491.0,1,0
154,Orlando,LA Clippers,0,33,27,1512.0,1,0
155,Orlando,LA Clippers,1,35,27,1524.0,1,0
156,Orlando,LA Clippers,0,35,29,1563.0,1,0
157,Orlando,LA Clippers,1,35,29,1587.0,1,0
158,Orlando,LA Clippers,1,35,29,1587.0,1,0
159,Orlando,LA Clippers,0,35,29,1641.0,1,0
160,Orlando,LA Clippers,0,35,29,1650.0,1,0
161,Orlando,LA Clippers,0,35,29,1656.0,1,0
162,Orlando,LA Clippers,1,35,29,1656.0,1,0
163,Orlando,LA Clippers,1,35,29,1710.0,1,0
164,Orlando,LA Clippers,0,35,29,1716.0,1,0
165,Orlando,LA Clippers,0,35,31,1749.0,1,0
166,Orlando,LA Clippers,1,35,31,1773.0,1,0
167,Orlando,LA Clippers,0,35,31,1773.0,1,0
168,Orlando,LA Clippers,1,35,31,1773.0,1,0
169,Orlando,LA Clippers,1,35,31,1788.0,1,0
170,Orlando,LA Clippers,1,35,31,1788.0,1,0
171,Orlando,LA Clippers,0,35,31,1833.0,1,0
172,Orlando,LA Clippers,1,35,31,1872.0,1,0
173,Orlando,LA Clippers,0,35,31,1878.0,1,0
174,Orlando,LA Clippers,0,35,33,1929.0,1,0
175,Orlando,LA Clippers,1,35,33,1998.0,1,0
176,Orlando,LA Clippers,1,35,33,1998.0,1,0
177,Orlando,LA Clippers,0,35,33,1998.0,1,0
178,Orlando,LA Clippers,0,35,33,1998.0,1,0
179,Orlando,LA Clippers,1,36,33,1998.0,1,0
180,Orlando,LA Clippers,1,37,33,1998.0,1,0
181,Orlando,LA Clippers,0,37,33,2043.0,1,0
182,Orlando,LA Clippers,0,37,35,2076.0,1,0
183,Orlando,LA Clippers,1,39,35,2109.0,1,0
184,Orlando,LA Clippers,0,39,38,2157.0,1,0
185,Orlando,LA Clippers,1,41,38,2223.0,1,0
186,Orlando,LA Clippers,0,41,40,2283.0,1,0
187,Orlando,LA Clippers,1,41,40,2313.0,1,0
188,Orlando,LA Clippers,0,41,40,2322.0,1,0
189,Orlando,LA Clippers,0,41,40,2334.0,1,0
190,Orlando,LA Clippers,0,41,40,2340.0,1,0
191,Orlando,LA Clippers,0,41,40,2346.0,1,0
192,Orlando,LA Clippers,0,41,42,2352.0,1,0
193,Orlando,LA Clippers,0,41,42,2352.0,1,0
194,Orlando,LA Clippers,1,41,42,2385.0,1,0
195,Orlando,LA Clippers,1,41,42,2385.0,1,0
196,Orlando,LA Clippers,1,41,42,2418.0,1,0
197,Orlando,LA Clippers,1,41,42,2418.0,1,0
198,Orlando,LA Clippers,1,41,42,2433.0,1,0
199,Orlando,LA Clippers,0,41,42,2433.0,1,0
200,Orlando,LA Clippers,1,41,42,2433.0,1,0
201,Orlando,LA Clippers,0,41,42,2433.0,1,0
202,Orlando,LA Clippers,0,41,42,2433.0,1,0
203,Orlando,LA Clippers,1,41,42,2433.0,1,0
204,Orlando,LA Clippers,0,41,42,2433.0,1,0
205,Orlando,LA Clippers,1,41,42,2436.0,1,0
206,Orlando,LA Clippers,1,41,42,2484.0,1,0
207,Orlando,LA Clippers,0,41,42,2487.0,1,0
208,Orlando,LA Clippers,0,41,42,2535.0,1,0
209,Orlando,LA Clippers,1,41,42,2538.0,1,0
210,Orlando,LA Clippers,1,41,42,2571.0,1,0
211,Orlando,LA Clippers,0,41,42,2574.0,1,0
212,Orlando,LA Clippers,0,41,44,2604.0,1,0
213,Orlando,LA Clippers,1,41,44,2640.0,1,0
214,Orlando,LA Clippers,0,41,44,2640.0,1,0
215,Orlando,LA Clippers,1,41,44,2640.0,1,0
216,Orlando,LA Clippers,1,41,44,2640.0,1,0
217,Orlando,LA Clippers,1,42,44,2640.0,1,0
218,Orlando,LA Clippers,0,42,44,2697.0,1,0
219,Orlando,LA Clippers,1,42,44,2700.0,1,0
220,Orlando,LA Clippers,1,42,44,2721.0,1,0
221,Orlando,LA Clippers,0,42,44,2724.0,1,0
222,Orlando,LA Clippers,0,42,46,2745.0,1,0
223,Orlando,LA Clippers,1,42,46,2793.0,1,0
224,Orlando,LA Clippers,0,42,46,2799.0,1,0
225,Orlando,LA Clippers,0,42,48,2868.0,1,0
226,Orlando,LA Clippers,1,42,48,1440.0,1,0
227,Orlando,LA Clippers,1,42,48,1440.0,1,0
228,Orlando,LA Clippers,1,42,48,2160.0,1,0
229,Orlando,LA Clippers,1,42,48,1440.0,1,0
230,Orlando,LA Clippers,0,42,48,1464.0,1,0
231,Orlando,LA Clippers,1,44,48,1494.0,1,0
232,Orlando,LA Clippers,0,44,48,1520.0,1,0
233,Orlando,LA Clippers,1,44,48,1522.0,1,0
234,Orlando,LA Clippers,0,44,48,1522.0,1,0
235,Orlando,LA Clippers,1,46,48,1556.0,1,0
236,Orlando,LA Clippers,0,46,50,1596.0,1,0
237,Orlando,LA Clippers,1,46,50,1630.0,1,0
238,Orlando,LA Clippers,0,46,52,1642.0,1,0
239,Orlando,LA Clippers,1,49,52,1682.0,1,0
240,Orlando,LA Clippers,0,49,54,1700.0,1,0
241,Orlando,LA Clippers,1,52,54,1726.0,1,0
242,Orlando,LA Clippers,0,52,54,1760.0,1,0
243,Orlando,LA Clippers,1,52,54,1764.0,1,0
244,Orlando,LA Clippers,1,52,54,1794.0,1,0
245,Orlando,LA Clippers,0,52,54,1798.0,1,0
246,Orlando,LA Clippers,0,52,54,1798.0,1,0
247,Orlando,LA Clippers,0,52,54,1832.0,1,0
248,Orlando,LA Clippers,1,52,54,1834.0,1,0
249,Orlando,LA Clippers,1,55,54,1852.0,1,0
250,Orlando,LA Clippers,0,55,54,1852.0,1,0
251,Orlando,LA Clippers,0,55,54,1886.0,1,0
252,Orlando,LA Clippers,0,55,56,1890.0,1,0
253,Orlando,LA Clippers,0,55,56,1890.0,1,0
254,Orlando,LA Clippers,1,55,56,1914.0,1,0
255,Orlando,LA Clippers,0,55,56,1918.0,1,0
256,Orlando,LA Clippers,0,55,56,1928.0,1,0
257,Orlando,LA Clippers,1,55,56,1932.0,1,0
258,Orlando,LA Clippers,1,55,56,1932.0,1,0
259,Orlando,LA Clippers,1,55,56,1958.0,1,0
260,Orlando,LA Clippers,1,56,56,1958.0,1,0
261,Orlando,LA Clippers,1,56,56,1958.0,1,0
262,Orlando,LA Clippers,0,56,56,1962.0,1,0
263,Orlando,LA Clippers,0,56,59,1998.0,1,0
264,Orlando,LA Clippers,1,56,59,2018.0,1,0
265,Orlando,LA Clippers,0,56,59,2034.0,1,0
266,Orlando,LA Clippers,0,56,59,2036.0,1,0
267,Orlando,LA Clippers,0,56,59,2038.0,1,0
268,Orlando,LA Clippers,1,56,59,2040.0,1,0
269,Orlando,LA Clippers,1,56,59,2054.0,1,0
270,Orlando,LA Clippers,0,56,61,2062.0,1,0
271,Orlando,LA Clippers,1,56,61,2096.0,1,0
272,Orlando,LA Clippers,0,56,61,2098.0,1,0
273,Orlando,LA Clippers,0,56,63,2102.0,1,0
274,Orlando,LA Clippers,1,56,63,2116.0,1,0
275,Orlando,LA Clippers,1,59,63,2138.0,1,0
276,Orlando,LA Clippers,0,59,63,2176.0,1,0
277,Orlando,LA Clippers,1,59,63,2182.0,1,0
278,Orlando,LA Clippers,0,59,63,2192.0,1,0
279,Orlando,LA Clippers,1,59,63,2196.0,1,0
280,Orlando,LA Clippers,1,59,63,2222.0,1,0
281,Orlando,LA Clippers,0,59,63,2226.0,1,0
282,Orlando,LA Clippers,0,59,65,2238.0,1,0
283,Orlando,LA Clippers,1,59,65,2290.0,1,0
284,Orlando,LA Clippers,0,59,65,2290.0,1,0
285,Orlando,LA Clippers,1,59,65,2290.0,1,0
286,Orlando,LA Clippers,0,59,65,2340.0,1,0
287,Orlando,LA Clippers,1,59,65,2342.0,1,0
288,Orlando,LA Clippers,1,61,65,2378.0,1,0
289,Orlando,LA Clippers,1,61,65,2378.0,1,0
290,Orlando,LA Clippers,1,61,65,2378.0,1,0
291,Orlando,LA Clippers,0,61,65,2390.0,1,0
292,Orlando,LA Clippers,0,61,65,2428.0,1,0
293,Orlando,LA Clippers,0,61,65,2430.0,1,0
294,Orlando,LA Clippers,0,61,65,2430.0,1,0
295,Orlando,LA Clippers,0,61,66,2430.0,1,0
296,Orlando,LA Clippers,0,61,67,2430.0,1,0
297,Orlando,LA Clippers,1,61,67,2464.0,1,0
298,Orlando,LA Clippers,1,61,67,2464.0,1,0
299,Orlando,LA Clippers,1,61,67,2464.0,1,0
300,Orlando,LA Clippers,1,61,67,2464.0,1,0
301,Orlando,LA Clippers,1,61,67,2464.0,1,0
302,Orlando,LA Clippers,1,62,67,2464.0,1,0
303,Orlando,LA Clippers,0,62,70,2498.0,1,0
304,Orlando,LA Clippers,1,64,70,2544.0,1,0
305,Orlando,LA Clippers,0,64,70,2588.0,1,0
306,Orlando,LA Clippers,1,64,70,2592.0,1,0
307,Orlando,LA Clippers,1,64,70,2612.0,1,0
308,Orlando,LA Clippers,0,64,70,2612.0,1,0
309,Orlando,LA Clippers,1,64,70,2612.0,1,0
310,Orlando,LA Clippers,1,64,70,2612.0,1,0
311,Orlando,LA Clippers,0,64,70,2612.0,1,0
312,Orlando,LA Clippers,0,64,70,2646.0,1,0
313,Orlando,LA Clippers,1,64,70,2648.0,1,0
314,Orlando,LA Clippers,1,66,70,2688.0,1,0
315,Orlando,LA Clippers,0,66,72,2710.0,1,0
316,Orlando,LA Clippers,1,66,72,2730.0,1,0
317,Orlando,LA Clippers,1,66,72,2730.0,1,0
318,Orlando,LA Clippers,1,66,72,2730.0,1,0
319,Orlando,LA Clippers,1,66,72,2730.0,1,0
320,Orlando,LA Clippers,1,66,72,2730.0,1,0
321,Orlando,LA Clippers,1,66,72,2730.0,1,0
322,Orlando,LA Clippers,0,66,72,2732.0,1,0
323,Orlando,LA Clippers,0,66,72,2758.0,1,0
324,Orlando,LA Clippers,0,66,72,2758.0,1,0
325,Orlando,LA Clippers,0,66,72,2758.0,1,0
326,Orlando,LA Clippers,1,66,72,2794.0,1,0
327,Orlando,LA Clippers,0,66,72,2796.0,1,0
328,Orlando,LA Clippers,0,66,72,2834.0,1,0
329,Orlando,LA Clippers,1,66,72,2836.0,1,0
330,Orlando,LA Clippers,1,66,72,2870.0,1,0
331,Orlando,LA Clippers,0,66,72,2870.0,1,0
332,Orlando,LA Clippers,0,66,75,2876.0,1,0
333,Orlando,LA Clippers,1,66,75,2880.0,1,0
334,Orlando,LA Clippers,1,66,75,2160.0,1,0
335,Orlando,LA Clippers,1,66,75,2173.0,1,0
336,Orlando,LA Clippers,1,68,75,2182.0,1,0
337,Orlando,LA Clippers,1,68,75,2182.0,1,0
338,Orlando,LA Clippers,1,69,75,2182.0,1,0
339,Orlando,LA Clippers,0,69,75,2206.0,1,0
340,Orlando,LA Clippers,1,69,75,2207.0,1,0
341,Orlando,LA Clippers,1,71,75,2213.0,1,0
342,Orlando,LA Clippers,0,71,75,2233.0,1,0
343,Orlando,LA Clippers,1,71,75,2234.0,1,0
344,Orlando,LA Clippers,1,71,75,2234.0,1,0
345,Orlando,LA Clippers,0,71,75,2234.0,1,0
346,Orlando,LA Clippers,0,71,75,2234.0,1,0
347,Orlando,LA Clippers,0,71,75,2234.0,1,0
348,Orlando,LA Clippers,0,71,75,2243.0,1,0
349,Orlando,LA Clippers,1,73,75,2263.0,1,0
350,Orlando,LA Clippers,0,73,75,2282.0,1,0
351,Orlando,LA Clippers,1,73,75,2283.0,1,0
352,Orlando,LA Clippers,1,76,75,2300.0,1,0
353,Orlando,LA Clippers,0,76,75,2300.0,1,0
354,Orlando,LA Clippers,0,76,75,2300.0,1,0
355,Orlando,LA Clippers,0,76,75,2300.0,1,0
356,Orlando,LA Clippers,0,76,75,2315.0,1,0
357,Orlando,LA Clippers,1,76,75,2334.0,1,0
358,Orlando,LA Clippers,0,76,75,2335.0,1,0
359,Orlando,LA Clippers,0,76,77,2342.0,1,0
360,Orlando,LA Clippers,1,76,77,2358.0,1,0
361,Orlando,LA Clippers,0,76,77,2359.0,1,0
362,Orlando,LA Clippers,0,76,77,2374.0,1,0
363,Orlando,LA Clippers,1,76,77,2376.0,1,0
364,Orlando,LA Clippers,1,76,77,2385.0,1,0
365,Orlando,LA Clippers,0,76,77,2386.0,1,0
366,Orlando,LA Clippers,0,76,77,2401.0,1,0
367,Orlando,LA Clippers,0,76,77,2413.0,1,0
368,Orlando,LA Clippers,1,76,77,2414.0,1,0
369,Orlando,LA Clippers,1,76,77,2423.0,1,0
370,Orlando,LA Clippers,1,76,77,2424.0,1,0
371,Orlando,LA Clippers,1,76,77,2424.0,1,0
372,Orlando,LA Clippers,1,76,77,2424.0,1,0
373,Orlando,LA Clippers,1,76,77,2424.0,1,0
374,Orlando,LA Clippers,1,76,77,2424.0,1,0
375,Orlando,LA Clippers,1,76,77,2424.0,1,0
376,Orlando,LA Clippers,0,76,77,2425.0,1,0
377,Orlando,LA Clippers,0,76,77,2440.0,1,0
378,Orlando,LA Clippers,1,76,77,2442.0,1,0
379,Orlando,LA Clippers,1,79,77,2459.0,1,0
380,Orlando,LA Clippers,0,79,77,2476.0,1,0
381,Orlando,LA Clippers,1,79,77,2484.0,1,0
382,Orlando,LA Clippers,1,79,77,2484.0,1,0
383,Orlando,LA Clippers,1,79,77,2484.0,1,0
384,Orlando,LA Clippers,0,79,77,2484.0,1,0
385,Orlando,LA Clippers,1,79,77,2493.0,1,0
386,Orlando,LA Clippers,1,80,77,2493.0,1,0
387,Orlando,LA Clippers,1,81,77,2493.0,1,0
388,Orlando,LA Clippers,0,81,77,2510.0,1,0
389,Orlando,LA Clippers,1,81,77,2514.0,1,0
390,Orlando,LA Clippers,1,81,77,2517.0,1,0
391,Orlando,LA Clippers,1,82,77,2517.0,1,0
392,Orlando,LA Clippers,1,83,77,2517.0,1,0
393,Orlando,LA Clippers,0,83,77,2517.0,1,0
394,Orlando,LA Clippers,1,85,77,2534.0,1,0
395,Orlando,LA Clippers,0,85,77,2549.0,1,0
396,Orlando,LA Clippers,0,85,77,2550.0,1,0
397,Orlando,LA Clippers,0,85,77,2564.0,1,0
398,Orlando,LA Clippers,1,85,77,2565.0,1,0
399,Orlando,LA Clippers,1,85,77,2583.0,1,0
400,Orlando,LA Clippers,0,85,77,2585.0,1,0
401,Orlando,LA Clippers,0,85,77,2591.0,1,0
402,Orlando,LA Clippers,1,85,77,2593.0,1,0
403,Orlando,LA Clippers,1,87,77,2601.0,1,0
404,Orlando,LA Clippers,1,87,77,2601.0,1,0
405,Orlando,LA Clippers,0,87,77,2601.0,1,0
406,Orlando,LA Clippers,1,87,77,2601.0,1,0
407,Orlando,LA Clippers,1,88,77,2601.0,1,0
408,Orlando,LA Clippers,1,88,77,2601.0,1,0
409,Orlando,LA Clippers,1,88,77,2603.0,1,0
410,Orlando,LA Clippers,1,88,77,2606.0,1,0
411,Orlando,LA Clippers,0,88,79,2624.0,1,0
412,Orlando,LA Clippers,1,88,79,2644.0,1,0
413,Orlando,LA Clippers,0,88,79,2647.0,1,0
414,Orlando,LA Clippers,0,88,79,2647.0,1,0
415,Orlando,LA Clippers,0,88,79,2663.0,1,0
416,Orlando,LA Clippers,1,88,79,2666.0,1,0
417,Orlando,LA Clippers,1,88,79,2667.0,1,0
418,Orlando,LA Clippers,0,88,79,2667.0,1,0
419,Orlando,LA Clippers,0,88,79,2667.0,1,0
420,Orlando,LA Clippers,0,88,80,2667.0,1,0
421,Orlando,LA Clippers,0,88,81,2667.0,1,0
422,Orlando,LA Clippers,1,88,81,2667.0,1,0
423,Orlando,LA Clippers,0,88,81,2675.0,1,0
424,Orlando,LA Clippers,0,88,81,2676.0,1,0
425,Orlando,LA Clippers,0,88,83,2677.0,1,0
426,Orlando,LA Clippers,1,88,83,2700.0,1,0
427,Orlando,LA Clippers,0,88,83,2701.0,1,0
428,Orlando,LA Clippers,0,88,85,2708.0,1,0
429,Orlando,LA Clippers,1,91,85,2726.0,1,0
430,Orlando,LA Clippers,0,91,85,2746.0,1,0
431,Orlando,LA Clippers,0,91,85,2746.0,1,0
432,Orlando,LA Clippers,0,91,85,2746.0,1,0
433,Orlando,LA Clippers,0,91,86,2746.0,1,0
434,Orlando,LA Clippers,0,91,86,2746.0,1,0
435,Orlando,LA Clippers,1,91,86,2747.0,1,0
436,Orlando,LA Clippers,1,94,86,2760.0,1,0
437,Orlando,LA Clippers,0,94,86,2760.0,1,0
438,Orlando,LA Clippers,0,94,86,2760.0,1,0
439,Orlando,LA Clippers,0,94,88,2772.0,1,0
440,Orlando,LA Clippers,1,94,88,2785.0,1,0
441,Orlando,LA Clippers,1,94,88,2785.0,1,0
442,Orlando,LA Clippers,0,94,88,2796.0,1,0
443,Orlando,LA Clippers,1,94,88,2797.0,1,0
444,Orlando,LA Clippers,1,94,88,2821.0,1,0
445,Orlando,LA Clippers,0,94,88,2826.0,1,0
446,Orlando,LA Clippers,1,94,88,2828.0,1,0
447,Orlando,LA Clippers,1,94,88,2848.0,1,0
448,Orlando,LA Clippers,0,94,88,2849.0,1,0
449,Orlando,LA Clippers,0,94,88,2861.0,1,0
450,Orlando,LA Clippers,1,94,88,2862.0,1,0
451,Orlando,LA Clippers,1,94,88,2863.0,1,0
452,Orlando,LA Clippers,1,95,88,2863.0,1,0
453,Orlando,LA Clippers,1,95,88,2863.0,1,0
454,Orlando,LA Clippers,0,95,88,2864.0,1,0
455,Orlando,LA Clippers,0,95,88,2873.0,1,0
456,Orlando,LA Clippers,1,95,88,2874.0,1,0
457,Orlando,LA Clippers,1,95,88,3600.0,1,0
458,Houston,Memphis,1,0,3,0.0,0,1
459,Houston,Memphis,0,0,3,80.0,0,1
460,Houston,Memphis,1,0,3,124.0,0,1
461,Houston,Memphis,1,0,3,172.0,0,1
462,Houston,Memphis,0,0,3,176.0,0,1
463,Houston,Memphis,0,0,3,248.0,0,1
464,Houston,Memphis,1,0,3,256.0,0,1
465,Houston,Memphis,1,0,3,288.0,0,1
466,Houston,Memphis,0,0,3,292.0,0,1
467,Houston,Memphis,0,0,3,336.0,0,1
468,Houston,Memphis,0,0,3,336.0,0,1
469,Houston,Memphis,0,0,3,336.0,0,1
470,Houston,Memphis,1,0,3,392.0,0,1
471,Houston,Memphis,0,0,3,396.0,0,1
472,Houston,Memphis,0,0,3,468.0,0,1
473,Houston,Memphis,0,0,4,468.0,0,1
474,Houston,Memphis,0,0,5,468.0,0,1
475,Houston,Memphis,1,0,5,560.0,0,1
476,Houston,Memphis,1,0,5,564.0,0,1
477,Houston,Memphis,1,0,5,568.0,0,1
478,Houston,Memphis,1,0,5,568.0,0,1
479,Houston,Memphis,1,0,5,568.0,0,1
480,Houston,Memphis,0,0,7,628.0,0,1
481,Houston,Memphis,1,0,7,684.0,0,1
482,Houston,Memphis,0,0,7,688.0,0,1
483,Houston,Memphis,0,0,10,776.0,0,1
484,Houston,Memphis,1,0,10,804.0,0,1
485,Houston,Memphis,1,2,10,848.0,0,1
486,Houston,Memphis,1,2,10,848.0,0,1
